=== Saved Attacks ===
Participation: 78 | Stars: 3 | %: 100.0 | Attack #: 1 | Target: #QUVRV9CJC | Mirror: False | New Stars: 3 | Delta: -4 | Time: 139
Participation: 78 | Stars: 3 | %: 100.0 | Attack #: 2 | Target: #LVV9UC0PC | Mirror: False | New Stars: 3 | Delta: -10 | Time: 140
Participation: 72 | Stars: 2 | %: 61.0 | Attack #: 1 | Target: #LVP0LRLQG | Mirror: True | New Stars: 2 | Delta: 0 | Time: 88
Participation: 72 | Stars: 2 | %: 64.0 | Attack #: 2 | Target: #GQ2JU0QJY | Mirror: False | New Stars: 0 | Delta: -17 | Time: 86
Participation: 80 | Stars: 2 | %: 97.0 | Attack #: 1 | Target: #9V2QLYP8R | Mirror: False | New Stars: 2 | Delta: 4 | Time: 180
Participation: 80 | Stars: 2 | %: 87.0 | Attack #: 2 | Target: #QG280G2VJ | Mirror: False | New Stars: 2 | Delta: 6 | Time: 89
Participation: 47 | Stars: 2 | %: 92.0 | Attack #: 1 | Target: #Q8G8R8RR0 | Mirror: True | New Stars: 0 | Delta: 0 | Time: 168
Participation: 47 | Stars: 2 | %: 87.0 | Attack #: 2 | Target: #VUGRCJQP | Mirror: False | New Stars: 0 | Delta: -1 | Time: 165
Participation: 76 | Stars: 1 | %: 89.0 | Attack #: 1 | Target: #9Q2JQPU2U | Mirror: False | New Stars: 1 | Delta: -3 | Time: 160
Participation: 76 | Stars: 2 | %: 60.0 | Attack #: 2 | Target: #2PLCJJPPC | Mirror: False | New Stars: 2 | Delta: 3 | Time: 121
Participation: 66 | Stars: 2 | %: 71.0 | Attack #: 1 | Target: #2CV8YY9C2 | Mirror: False | New Stars: 0 | Delta: -1 | Time: 117
Participation: 66 | Stars: 2 | %: 72.0 | Attack #: 2 | Target: #GQ2JU0QJY | Mirror: False | New Stars: 0 | Delta: -3 | Time: 117
Participation: 77 | Stars: 0 | %: 0.0 | Attack #: 1 | Target: #CLV09J29 | Mirror: False | New Stars: 0 | Delta: 4 | Time: 0
Participation: 77 | Stars: 2 | %: 76.0 | Attack #: 2 | Target: #9Q2JQPU2U | Mirror: False | New Stars: 1 | Delta: -6 | Time: 95
Participation: 55 | Stars: 3 | %: 100.0 | Attack #: 1 | Target: #PCQR9GV8P | Mirror: False | New Stars: 2 | Delta: -2 | Time: 126
Participation: 55 | Stars: 3 | %: 100.0 | Attack #: 2 | Target: #G892Y8UCR | Mirror: False | New Stars: 1 | Delta: -33 | Time: 87
Participation: 86 | Stars: 2 | %: 76.0 | Attack #: 1 | Target: #2LGRVG8Q0 | Mirror: False | New Stars: 1 | Delta: 1 | Time: 87
Participation: 86 | Stars: 2 | %: 65.0 | Attack #: 2 | Target: #L9Q2CLYPP | Mirror: False | New Stars: 2 | Delta: -6 | Time: 96
Participation: 48 | Stars: 3 | %: 100.0 | Attack #: 1 | Target: #PR0JQRPU | Mirror: True | New Stars: 3 | Delta: 0 | Time: 136
Participation: 48 | Stars: 3 | %: 100.0 | Attack #: 2 | Target: #LVP0LRLQG | Mirror: False | New Stars: 1 | Delta: -1 | Time: 150
Participation: 52 | Stars: 2 | %: 62.0 | Attack #: 1 | Target: #QCR20PPJY | Mirror: True | New Stars: 0 | Delta: 0 | Time: 91
Participation: 52 | Stars: 1 | %: 73.0 | Attack #: 2 | Target: #P9Q2CPC02 | Mirror: False | New Stars: 0 | Delta: -2 | Time: 123
